dataset;data_type;binary_feature;fold;n;p;algorithm;penalty_type;lamb;g;simulation_seed;support_size;train_auc;test_auc;train_acc;test_acc;train_log_loss;test_log_loss;train_obj;test_obj;train_precision;train_recall;train_f1_score;train_exp_loss;test_exp_loss;train_duration;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;0.8;1e-05;NA;84;0.820319358173256;0.79045385754115;0.744113780327477;0.717017208413002;4335.38287570489;1190.36871716901;4402.86801949286;1257.85386095698;NA;NA;NA;8373.62720465529;13995.8251557345;38.9793341159821;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;1;1e-05;NA;65;0.816490382200104;0.792449390779222;0.740528265806143;0.720363288718929;4374.04492119291;1182.02828356906;4439.16129338573;1247.14465576187;NA;NA;NA;8394.14854386783;10686.9985217156;24.6857805252075;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;2;1e-05;NA;36;0.809806203240329;0.793998155991375;0.73491095972272;0.721797323135755;4444.84752464427;1160.85841504084;4516.92095800108;1232.93184839765;NA;NA;NA;8423.62930200357;2438.55074257929;7.98985123634338;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;3;1e-05;NA;24;0.805491184746739;0.792845191435278;0.730249790844986;0.722753346080306;4489.65258025387;1160.40430788817;4561.72506753924;1232.47679517354;NA;NA;NA;8482.58254378951;2380.45598217821;7.35995364189148;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;4;1e-05;NA;21;0.804622321873956;0.794287430252761;0.730010756543564;0.722275334608031;4502.90275206683;1156.91246220967;4586.97211586946;1240.98182601231;NA;NA;NA;8470.0342450048;2343.66282415009;5.93041563034058;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;5;1e-05;NA;18;0.802472622951964;0.790747264291985;0.730010756543564;0.720841300191205;4518.59152777183;1159.3901041075;4608.66718162841;1249.46575796408;NA;NA;NA;8461.53689260296;2305.10225725185;6.31952309608459;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;6;1e-05;NA;16;0.801321787327316;0.789932704705161;0.730847376598542;0.721797323135755;4532.31779029091;1164.47737180431;4628.3986739985;1260.5582555119;NA;NA;NA;8479.48905712732;2307.40864183862;5.58420944213867;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;7;1e-05;NA;14;0.798805031748827;0.788317819661834;0.72750089637863;0.719885277246654;4550.94739138707;1166.45488353937;4649.02073624287;1264.52822839517;NA;NA;NA;8465.53228243733;2302.25944978943;4.76525568962097;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;0.8;0.001;NA;80;0.818253512958216;0.793696943427138;0.740647782956854;0.723709369024857;4354.72126960596;1169.58886281687;4429.22307518836;1244.09066839928;NA;NA;NA;8299.46855942867;3101.18294122225;30.6242756843567;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;1;0.001;NA;66;0.816385529304854;0.792822692326059;0.740528265806143;0.720841300191205;4378.72184280138;1170.4954224807;4453.61548212706;1245.38906180638;NA;NA;NA;8379.24999814575;3321.8820799355;31.1243426799774;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;2;0.001;NA;36;0.80957481163957;0.794640987683345;0.73491095972272;0.726577437858509;4448.85590204954;1156.86357966097;4527.61492253733;1235.62260014875;NA;NA;NA;8382.81889139564;2383.0493183397;14.9188647270203;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;3;0.001;NA;24;0.806135951377095;0.79328048032384;0.731923030954942;0.726099426386233;4484.44310820061;1157.84321327363;4563.27966768997;1236.67977276299;NA;NA;NA;8384.27534432622;2352.00470353266;7.23721098899841;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;4;0.001;NA;21;0.804518985268869;0.794404976619293;0.729771722242142;0.722275334608031;4503.01178331774;1156.13614590228;4593.71786720145;1246.84222978598;NA;NA;NA;8416.72952928365;2320.38316134003;5.315673828125;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;5;0.001;NA;18;0.802655807969232;0.790509416565956;0.729413170790008;0.72131931166348;4518.80265086405;1160.00209633912;4616.25615174268;1257.45559721775;NA;NA;NA;8401.04607667465;2289.75315326126;5.35970950126648;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;6;0.001;NA;16;0.80129357860843;0.789341299548548;0.730488825146409;0.720841300191205;4532.63872714513;1164.44583380162;4636.43199515049;1268.23910180697;NA;NA;NA;8417.74719289251;2286.8455717235;5.79001688957214;
fico;real;TRUE;0;8367;1917;fastsparse Logistic;L0L2;7;0.001;NA;14;0.798739917099553;0.78872555862074;0.72750089637863;0.719885277246654;4551.05776329892;1165.70622349583;4656.17279403814;1270.82125423506;NA;NA;NA;8409.52408869839;2279.50061455049;3.97268295288086;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;0.8;1e-05;NA;91;0.817122532151932;0.789533230725151;0.736703716983387;0.723709369024857;4643.280728861;1201.47353663082;4716.08077142444;1274.27357919426;NA;NA;NA;6803.34630741978;1828.81633884298;15.713609457016;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;1;1e-05;NA;72;0.815156218511946;0.788902796501526;0.738615991394765;0.72131931166348;4665.1133630436;1203.4500901135;4737.1133985759;1275.4501256458;NA;NA;NA;6833.13643048079;1825.41471819312;11.7504546642303;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;2;1e-05;NA;44;0.809875351793622;0.790683440288282;0.735508545476276;0.718451242829828;4716.73800440489;1204.36459799821;4804.73802724885;1292.36462084218;NA;NA;NA;6904.14600887454;1811.53868722949;6.74166321754456;
fico;real;TRUE;0;8367;1917;fastsparse Exponential;L0L2;3;1e-05;NA;28;0.805794070859157;0.790174225755144;0.732640133859209;0.724665391969407;4754.96148961139;1211.61224260698;4838.96150527119;1295.61225826679;NA;NA;NA;6956.45282437519;1808.49443440257;3.52933168411255;
